snapshot_pct,bin,bin_maxrl_minus_grpo_pp,panel_maxrl_minus_grpo_pp,bin_minus_panel_contrast_pp
5,"(.25,.5]",-0.30292893250074343,0.09765625,-0.40058518250074343
5,"(.5,.75]",-0.34192370129870137,0.09765625,-0.43957995129870137
5,"(.75,1)",-0.28782894736842124,0.09765625,-0.38548519736842124
5,"(0,.25]",0.6626437157042069,0.09765625,0.5649874657042069
5,0,0.31480343980343983,0.09765625,0.2171471898034398
10,"(.25,.5]",0.7433838834374071,-0.5615234375,1.3049073209374071
10,"(.5,.75]",2.255478896103896,-0.5615234375,2.817002333603896
10,"(.75,1)",-0.016447368421052596,-0.5615234375,0.5450760690789475
10,"(0,.25]",-2.6244447347792,-0.5615234375,-2.0629212972792
10,0,-2.3904586404586405,-0.5615234375,-1.8289352029586405
15,"(.25,.5]",-1.5480969372584006,0.439453125,-1.9875500622584006
15,"(.5,.75]",0.2668425324675325,0.439453125,-0.17261059253246752
15,"(.75,1)",-0.9210526315789475,0.439453125,-1.3605057565789473
15,"(0,.25]",1.696416906192841,0.439453125,1.256963781192841
15,0,1.5816953316953315,0.439453125,1.1422422066953315
20,"(.25,.5]",-0.5742640499553968,-0.244140625,-0.3301234249553968
20,"(.5,.75]",-1.1860795454545456,-0.244140625,-0.9419389204545455
20,"(.75,1)",-1.4555921052631577,-0.244140625,-1.2114514802631577
20,"(0,.25]",1.4894172981447615,-0.244140625,1.7335579231447615
20,0,-1.9195331695331699,-0.244140625,-1.6753925445331699
25,"(.25,.5]",-1.843592030924769,-1.220703125,-0.6228889059247691
25,"(.5,.75]",0.8979301948051948,-1.220703125,2.1186333198051948
25,"(.75,1)",-0.6414473684210527,-1.220703125,0.5792557565789473
25,"(0,.25]",-2.7963319832767173,-1.220703125,-1.5756288582767175
25,0,0.04350941850941835,-1.220703125,1.2642125435094183
30,"(.25,.5]",-0.6653285756764798,-0.0732421875,-0.5920863881764798
30,"(.5,.75]",0.7234172077922083,-0.0732421875,0.7966593952922083
30,"(.75,1)",-0.39473684210526316,-0.0732421875,-0.32149465460526316
30,"(0,.25]",-0.5560817873007572,-0.0732421875,-0.4828395998007572
30,0,0.9392915642915645,-0.0732421875,1.0125337517915645
35,"(.25,.5]",-1.0797650906928344,-0.1708984375,-0.9088666531928344
35,"(.5,.75]",-0.39569805194805197,-0.1708984375,-0.224799614448052
35,"(.75,1)",2.713815789473684,-0.1708984375,2.884714226973684
35,"(0,.25]",0.07144956885288684,-0.1708984375,0.24234800635288684
35,0,-0.46324733824733827,-0.1708984375,-0.29234890074733827
40,"(.25,.5]",-2.229222420457924,-0.6591796875,-1.570042732957924
40,"(.5,.75]",-0.5062905844155842,-0.6591796875,0.1528891030844158
40,"(.75,1)",1.620065789473684,-0.6591796875,2.279245476973684
40,"(0,.25]",-0.8720930232558142,-0.6591796875,-0.21291333575581411
40,0,0.9060196560196563,-0.6591796875,1.5651993435196563
45,"(.25,.5]",-2.3918376449598573,-1.07421875,-1.3176188949598573
45,"(.5,.75]",-1.2976866883116875,-1.07421875,-0.2234679383116875
45,"(.75,1)",-1.1184210526315792,-1.07421875,-0.04420230263157913
45,"(0,.25]",0.19965050953749675,-1.07421875,1.2738692595374967
45,0,-1.8222768222768222,-1.07421875,-0.7480580722768221
50,"(.25,.5]",-0.9134329467737137,-0.8056640625,-0.10776888427371373
50,"(.5,.75]",-1.1211444805194808,-0.8056640625,-0.3154804180194808
50,"(.75,1)",2.4259868421052633,-0.8056640625,3.231650904605263
50,"(0,.25]",-1.833600078390385,-0.8056640625,-1.027936015890385
50,0,0.5912162162162165,-0.8056640625,1.3968802787162165
55,"(.25,.5]",0.3233719892952708,0.3662109375,-0.04283894820472922
55,"(.5,.75]",-1.0795454545454546,0.3662109375,-1.4457563920454546
55,"(.75,1)",2.425986842105263,0.3662109375,2.059775904605263
55,"(0,.25]",1.3020152861249024,0.3662109375,0.9358043486249024
55,0,-0.6552006552006551,0.3662109375,-1.021411592700655
60,"(.25,.5]",-1.1912726732084447,-0.2197265625,-0.9715461107084447
60,"(.5,.75]",-0.5610795454545459,-0.2197265625,-0.34135298295454586
60,"(.75,1)",0.47697368421052677,-0.2197265625,0.6967002467105268
60,"(0,.25]",0.13799973869871862,-0.2197265625,0.3577263011987186
60,0,0.6321662571662572,-0.2197265625,0.8518928196662572
65,"(.25,.5]",-1.0249405292893254,-1.26953125,0.24459072071067456
65,"(.5,.75]",-0.9030032467532465,-1.26953125,0.36652800324675355
65,"(.75,1)",-0.789473684210526,-1.26953125,0.480057565789474
65,"(0,.25]",-1.7135648027175334,-1.26953125,-0.4440335527175335
65,0,-1.4230139230139223,-1.26953125,-0.1534826730139223
70,"(.25,.5]",-2.5925512934879573,-1.2939453125,-1.2986059809879573
70,"(.5,.75]",-2.0870535714285716,-1.2939453125,-0.7931082589285716
70,"(.75,1)",-0.7812499999999998,-1.2939453125,0.5126953125000002
70,"(0,.25]",-0.3682714920303115,-1.2939453125,0.9256738204696885
70,0,-0.609131859131859,-1.2939453125,0.684813453368141
75,"(.25,.5]",-4.5216324710080285,-2.8076171875,-1.7140152835080282
75,"(.5,.75]",-2.2514204545454537,-2.8076171875,0.5561967329545461
75,"(.75,1)",-2.549342105263158,-2.8076171875,0.25827508223684215
75,"(0,.25]",-2.6460837470603598,-2.8076171875,0.16153344043964013
75,0,-1.359029484029484,-2.8076171875,1.448587703470516
80,"(.25,.5]",1.9383734760630391,1.416015625,0.5223578510630391
80,"(.5,.75]",2.820616883116883,1.416015625,1.4046012581168832
80,"(.75,1)",2.5328947368421053,1.416015625,1.1168791118421055
80,"(0,.25]",0.5593480533054612,1.416015625,-0.8566675716945388
80,0,-0.2610565110565108,1.416015625,-1.6770721360565108
85,"(.25,.5]",-2.1818316978887893,-0.9521484375,-1.2296832603887893
85,"(.5,.75]",-0.9040178571428568,-0.9521484375,0.04813058035714329
85,"(.75,1)",0.3289473684210526,-0.9521484375,1.2810958059210527
85,"(0,.25]",-0.16004703423046773,-0.9521484375,0.7921014032695323
85,0,-1.9067362817362816,-0.9521484375,-0.9545878442362817
90,"(.25,.5]",-1.9969149568837343,-0.8544921875,-1.1424227693837343
90,"(.5,.75]",-1.861810064935065,-0.8544921875,-1.007317877435065
90,"(.75,1)",-0.14802631578947378,-0.8544921875,0.7064658717105262
90,"(0,.25]",0.5099457799843221,-0.8544921875,1.3644379674843221
90,0,-1.0877354627354627,-0.8544921875,-0.2332432752354627
95,"(.25,.5]",-2.6873327386262273,-2.001953125,-0.6853796136262275
95,"(.5,.75]",-2.132711038961039,-2.001953125,-0.1307579139610389
95,"(.75,1)",-1.1348684210526316,-2.001953125,0.8670847039473684
95,"(0,.25]",-1.324879148157826,-2.001953125,0.6770739768421741
95,0,-2.876740376740377,-2.001953125,-0.874787251740377
100,"(.25,.5]",-1.9077088908712458,-1.3427734375,-0.5649354533712458
100,"(.5,.75]",-0.6199269480519478,-1.3427734375,0.7228464894480522
100,"(.75,1)",-0.15625000000000014,-1.3427734375,1.1865234374999998
100,"(0,.25]",-0.4372713613796708,-1.3427734375,0.9055020761203292
100,0,-4.711814086814088,-1.3427734375,-3.3690406493140874
