snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,A-bin/B-base,"(.75,1)",0,595,exposed,0.875,1030.75,71.0,0.0,0.0625,0.0
25,934,B-bin/A-base,"(.75,1)",0,595,exposed,0.8125,1172.3125,71.0,0.0625,0.125,0.125
25,934,A-bin/B-base,"(0,.25]",1,2096,unexposed,0.3125,1645.75,63.0,0.25,0.125,0.25
25,934,B-bin/A-base,"(.25,.5]",1,2096,unexposed,0.25,1879.5625,63.0,0.3125,0.3125,0.3125
25,934,A-bin/B-base,"(0,.25]",2,1399,unexposed,0.4375,1460.5,93.0,0.25,0.1875,0.1875
25,934,B-bin/A-base,"(.25,.5]",2,1399,unexposed,0.125,1825.5625,93.0,0.5625,0.5625,0.25
25,934,A-bin/B-base,"(.5,.75]",3,2059,unexposed,0.6875,1083.4375,86.0,0.1875,0.25,0.0
25,934,B-bin/A-base,"(.5,.75]",3,2059,unexposed,0.5625,1172.25,86.0,0.3125,0.3125,0.125
25,934,A-bin/B-base,"(0,.25]",4,1217,unexposed,0.375,1507.125,58.0,-0.125,0.1875,-0.125
25,934,B-bin/A-base,"(.25,.5]",4,1217,unexposed,0.125,1654.0,58.0,0.125,0.25,0.125
25,934,A-bin/B-base,"(.25,.5]",5,2667,unexposed,0.625,1427.4375,97.0,0.0,0.0,-0.0625
25,934,B-bin/A-base,"(.5,.75]",5,2667,unexposed,0.375,1634.625,97.0,0.25,0.25,0.0625
25,934,A-bin/B-base,"(.5,.75]",6,1939,unexposed,0.625,1401.1875,89.0,0.1875,0.3125,0.0
25,934,B-bin/A-base,"(.5,.75]",6,1939,unexposed,0.6875,1305.875,89.0,0.125,0.1875,0.0
25,934,A-bin/B-base,0,7,2767,unexposed,0.0,1893.0,138.0,0.1875,0.1875,0.25
25,934,B-bin/A-base,0,7,2767,unexposed,0.0,2048.0,138.0,0.1875,0.3125,0.25
25,934,A-bin/B-base,"(0,.25]",8,2957,unexposed,0.125,1784.875,142.0,-0.125,-0.125,0.0
25,934,B-bin/A-base,"(0,.25]",8,2957,unexposed,0.1875,1672.875,142.0,-0.1875,-0.1875,-0.125
25,934,A-bin/B-base,"(0,.25]",9,383,exposed,0.0,1866.375,100.0,0.0,0.25,0.0
25,934,B-bin/A-base,0,9,383,exposed,0.1875,1572.0625,100.0,-0.1875,0.0,-0.25
25,934,A-bin/B-base,0,10,3352,unexposed,0.0625,1940.875,108.0,-0.0625,-0.0625,-0.125
25,934,B-bin/A-base,"(0,.25]",10,3352,unexposed,0.0,2048.0,108.0,0.0,0.0625,-0.0625
