direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
A-bin/B-base,"(.75,1)",0,595,0.875,1030.75,71
B-bin/A-base,"(.75,1)",0,595,0.8125,1172.3125,71
A-bin/B-base,"(0,.25]",1,2096,0.3125,1645.75,63
B-bin/A-base,"(.25,.5]",1,2096,0.25,1879.5625,63
A-bin/B-base,"(0,.25]",2,1399,0.4375,1460.5,93
B-bin/A-base,"(.25,.5]",2,1399,0.125,1825.5625,93
A-bin/B-base,"(.5,.75]",3,2059,0.6875,1083.4375,86
B-bin/A-base,"(.5,.75]",3,2059,0.5625,1172.25,86
A-bin/B-base,"(0,.25]",4,1217,0.375,1507.125,58
B-bin/A-base,"(.25,.5]",4,1217,0.125,1654.0,58
A-bin/B-base,"(.25,.5]",5,2667,0.625,1427.4375,97
B-bin/A-base,"(.5,.75]",5,2667,0.375,1634.625,97
A-bin/B-base,"(.5,.75]",6,1939,0.625,1401.1875,89
B-bin/A-base,"(.5,.75]",6,1939,0.6875,1305.875,89
A-bin/B-base,0,7,2767,0.0,1893.0,138
B-bin/A-base,0,7,2767,0.0,2048.0,138
A-bin/B-base,"(0,.25]",8,2957,0.125,1784.875,142
B-bin/A-base,"(0,.25]",8,2957,0.1875,1672.875,142
A-bin/B-base,"(0,.25]",9,383,0.0,1866.375,100
B-bin/A-base,0,9,383,0.1875,1572.0625,100
A-bin/B-base,0,10,3352,0.0625,1940.875,108
B-bin/A-base,"(0,.25]",10,3352,0.0,2048.0,108
A-bin/B-base,0,11,2995,0.0625,2035.8125,131
B-bin/A-base,"(0,.25]",11,2995,0.0,2048.0,131
A-bin/B-base,"(.25,.5]",12,364,0.625,1292.3125,72
B-bin/A-base,"(.5,.75]",12,364,0.4375,1645.625,72
A-bin/B-base,"(0,.25]",13,2544,0.0625,1785.625,100
B-bin/A-base,"(0,.25]",13,2544,0.1875,1532.6875,100
A-bin/B-base,"(0,.25]",14,1373,0.1875,1726.4375,62
B-bin/A-base,"(0,.25]",14,1373,0.25,1774.9375,62
A-bin/B-base,0,15,175,0.0,1529.0625,102
B-bin/A-base,0,15,175,0.0,2048.0,102
A-bin/B-base,"(0,.25]",16,2651,0.125,1822.25,88
B-bin/A-base,"(0,.25]",16,2651,0.125,1954.625,88
A-bin/B-base,"(0,.25]",17,2342,0.0625,1853.25,112
B-bin/A-base,"(0,.25]",17,2342,0.125,1746.8125,112
A-bin/B-base,"(0,.25]",18,120,0.0,1827.125,96
B-bin/A-base,0,18,120,0.1875,1855.0625,96
A-bin/B-base,"(0,.25]",19,1169,0.1875,1857.5625,96
B-bin/A-base,"(0,.25]",19,1169,0.25,1682.4375,96
A-bin/B-base,"(.75,1)",20,3184,0.875,1112.375,105
B-bin/A-base,"(.75,1)",20,3184,0.8125,1204.5,105
A-bin/B-base,"(0,.25]",21,3351,0.125,1961.875,83
B-bin/A-base,"(0,.25]",21,3351,0.125,1898.875,83
A-bin/B-base,0,22,1803,0.0,1864.125,91
B-bin/A-base,0,22,1803,0.0,1954.3125,91
A-bin/B-base,"(.5,.75]",23,731,0.5,1621.5625,89
B-bin/A-base,"(.25,.5]",23,731,0.5625,1362.3125,89
