direction,bin,n_questions,corr_exposure_baseline_p0,corr_exposure_p0_completion_length,corr_exposure_prompt_tokens,uniform_ks_D,exposure_q1_fraction,exposure_q2_fraction,exposure_q3_fraction,exposure_q4_fraction
A-bin/B-base,0,33,0.14646992390869942,0.11963041776909095,-0.3182738314077885,0.10874132113425472,0.30303030303030304,0.21212121212121213,0.21212121212121213,0.2727272727272727
A-bin/B-base,"(0,.25]",89,0.13552746541559044,-0.22274972454510292,-0.03227793272930115,0.11413847652960563,0.2696629213483146,0.3258426966292135,0.19101123595505617,0.21348314606741572
A-bin/B-base,"(.25,.5]",57,0.06898239920506406,0.02170864297772294,0.20232183205411877,0.12577717044216535,0.3508771929824561,0.21052631578947367,0.21052631578947367,0.22807017543859648
A-bin/B-base,"(.5,.75]",56,0.01343888857725579,0.08153853849176637,0.25152803578587263,0.0944287243805445,0.25,0.25,0.32142857142857145,0.17857142857142858
A-bin/B-base,"(.75,1)",20,-0.45140648209115974,0.010487632410338815,0.26585891887488344,0.20586188436830832,0.35,0.3,0.1,0.25
A-bin/B-base,1,1,,,,0.5426927194860813,0.0,1.0,0.0,0.0
B-bin/A-base,0,37,-0.13185705848576607,-0.1876791921953407,-0.10628859942526576,0.2044714682562649,0.3783783783783784,0.24324324324324326,0.21621621621621623,0.16216216216216217
B-bin/A-base,"(0,.25]",86,-0.12829025530694743,0.11084172525811682,-0.061294347764707754,0.08768549873014297,0.26744186046511625,0.313953488372093,0.13953488372093023,0.27906976744186046
B-bin/A-base,"(.25,.5]",59,0.06114798481308262,0.0431965777836037,0.06739701743350729,0.08305130112873371,0.288135593220339,0.23728813559322035,0.3050847457627119,0.1694915254237288
B-bin/A-base,"(.5,.75]",55,-0.0578450861132763,0.1451922013867858,0.38927769533630197,0.06655878917656222,0.2545454545454545,0.23636363636363636,0.2727272727272727,0.23636363636363636
B-bin/A-base,"(.75,1)",19,0.0900967517137052,-0.010460787624046997,0.27125746939448503,0.213787614110222,0.3684210526315789,0.3157894736842105,0.15789473684210525,0.15789473684210525
