dataset_index,exposure_step,prompt_token_count
0,595,71
1,2096,63
2,1399,93
3,2059,86
4,1217,58
5,2667,97
6,1939,89
7,2767,138
8,2957,142
9,383,100
10,3352,108
11,2995,131
12,364,72
13,2544,100
14,1373,62
15,175,102
16,2651,88
17,2342,112
18,120,96
19,1169,96
20,3184,105
21,3351,83
22,1803,91
23,731,89
24,2313,113
25,56,126
26,3693,87
27,878,119
28,3730,85
29,3359,87
30,1559,87
31,855,96
32,1729,147
33,1041,100
34,2508,75
35,1065,81
36,3571,79
37,2128,112
38,2222,103
39,2399,106
40,2176,75
41,1097,102
42,124,98
43,3568,86
44,1681,100
45,1410,115
46,1204,75
47,1093,87
48,817,81
49,2630,88
50,1370,106
51,3474,95
52,689,81
53,2253,92
54,1788,100
55,1296,67
56,757,93
57,764,92
58,1873,107
59,809,121
60,481,89
61,576,132
62,302,72
63,797,119
64,3703,89
65,1501,78
66,39,103
67,1330,113
68,3495,89
69,3105,67
70,2025,67
71,736,100
72,199,117
73,568,102
74,994,89
75,819,88
76,2871,67
77,1542,81
78,2244,92
79,2577,61
80,251,91
81,2717,131
82,123,77
83,3463,95
84,2997,90
85,390,95
86,367,73
87,2892,83
88,2531,66
89,1105,92
90,847,82
91,3041,108
92,3214,101
93,2614,78
94,2192,62
95,610,92
96,2987,98
97,315,135
98,2219,113
99,2965,123
100,2174,83
101,2112,136
102,2739,97
103,824,131
104,1749,72
105,1613,61
106,492,70
107,2541,121
108,2893,86
109,2397,75
110,3389,98
111,3703,83
112,3659,112
113,1977,86
114,712,61
115,475,84
116,395,132
117,2801,126
118,3502,79
119,1625,72
120,427,97
121,3324,98
122,1758,108
123,1131,100
124,256,96
125,404,66
126,553,62
127,2792,107
128,3467,108
129,2670,76
130,2949,100
131,567,134
132,2756,67
133,3420,86
134,1395,96
135,1720,75
136,3349,95
137,2702,95
138,69,85
139,717,118
140,3548,98
141,2344,73
142,2983,96
143,1988,89
144,2233,130
145,341,77
146,2855,93
147,3479,76
148,1844,70
149,2777,67
150,1598,75
151,806,75
152,297,65
153,301,92
154,1899,97
155,1281,88
156,2984,99
157,2537,91
158,1296,76
159,13,74
160,2266,99
161,2400,70
162,3224,95
163,3446,113
164,760,83
165,643,107
166,619,123
167,3511,101
168,172,108
169,2014,73
170,4,57
171,3438,77
172,129,74
173,911,93
174,1321,78
175,258,171
176,1708,61
177,1555,98
178,3597,125
179,1570,94
180,254,80
181,935,89
182,708,107
183,3495,106
184,496,119
185,1472,75
186,1175,77
187,3231,105
188,1286,70
189,668,83
190,250,68
191,2307,98
192,1084,100
193,876,91
194,2585,109
195,2837,81
196,858,61
197,305,86
198,1072,93
199,2556,109
200,3609,109
201,1506,96
202,609,67
203,1054,69
204,2260,76
205,437,103
206,3683,97
207,2090,58
208,1607,87
209,2724,66
210,1448,68
211,1498,116
212,1457,131
213,1604,92
214,1143,62
215,1018,63
216,2440,129
217,1509,73
218,2873,71
219,1347,107
220,1322,83
221,1757,69
222,1488,87
223,91,94
224,1009,79
225,2450,130
226,3522,77
227,2849,113
228,3601,81
229,1813,87
230,1389,102
231,2900,124
232,847,128
233,1627,88
234,1370,98
235,1588,112
236,1467,84
237,606,150
238,799,102
239,438,106
240,3233,78
241,101,90
242,3039,97
243,1654,110
244,445,70
245,90,78
246,1277,82
247,1273,130
248,3313,88
249,2230,114
250,1701,82
251,1384,91
252,2760,80
253,2753,111
254,3239,115
255,484,72
