snapshot_pct,snapshot_step,direction,bin,n_panel_questions,n_exposed_groups,n_unique_exposed_questions,exposure_fraction,active_group_fraction,mean_k_over_G,mean_group_total_abs_advantage,mean_completion_length,cumulative_abs_advantage_per_panel_question,actual_is_ess_fraction,actual_is_mean_ratio,actual_is_cap_fraction,exploratory_dapo_is_abs_mass_per_panel_question
5,187,A-bin,0,33,2,2,0.06060606060606061,0.0,0.0,0.0,1783.46875,0.0,0.9980808293006742,0.9999888340184772,0.0,0.0
5,187,A-bin,"(0,.25]",89,5,5,0.056179775280898875,1.0,0.0875,29.200000095367432,1862.3875,1.6404494435599681,0.9978315962329667,1.0000844207388462,0.0,2351.766113197777
5,187,A-bin,"(.25,.5]",57,3,3,0.05263157894736842,1.0,0.4375,18.00000007947286,1583.6041666666667,0.9473684252354136,0.9980941682925203,0.9998733362864023,0.0,1452.940449065908
5,187,A-bin,"(.5,.75]",56,3,3,0.05357142857142857,1.0,0.5416666666666666,14.666666676600775,1402.3958333333333,0.78571428624647,0.9978214862196131,0.9998992133404431,0.0,1153.087317804501
5,187,A-bin,"(.75,1)",20,1,1,0.05,1.0,0.6875,10.000000149011612,1334.0625,0.5000000074505806,0.9981395258732847,1.0001016184244313,0.0,730.0833116877862
5,187,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
5,187,B-bin,0,37,3,3,0.08108108108108109,0.6666666666666666,0.08333333333333333,18.666666825612385,1779.5416666666667,1.5135135264010042,0.9979696876519183,1.0001622441368523,0.0,2250.969811055886
5,187,B-bin,"(0,.25]",86,4,4,0.046511627906976744,0.75,0.046875,22.5,1885.0625,1.0465116279069768,0.997851686384512,0.9999841028719895,0.0,1465.3639658783065
5,187,B-bin,"(.25,.5]",59,4,4,0.06779661016949153,1.0,0.421875,18.5,1580.578125,1.2542372881355932,0.9980425526324347,0.9998649868494403,0.0,1900.6685960966915
5,187,B-bin,"(.5,.75]",55,2,2,0.03636363636363636,1.0,0.625,12.00000013411045,1317.84375,0.43636364124038,0.9977827158724125,0.999934670328458,0.0,640.9281495291643
5,187,B-bin,"(.75,1)",19,1,1,0.05263157894736842,1.0,0.6875,10.000000149011612,1334.0625,0.5263157973164007,0.9981395258732847,1.0001016184244313,0.0,768.5087491450381
10,374,A-bin,0,33,3,3,0.09090909090909091,0.0,0.0,0.0,1790.0416666666667,0.0,0.9979406758340486,1.0000411915354148,0.0,0.0
10,374,A-bin,"(0,.25]",89,10,10,0.11235955056179775,1.0,0.175,26.400000071525575,1812.93125,2.966292142868042,0.9978849388965468,1.0000222843621314,0.0,4465.882575508104
10,374,A-bin,"(.25,.5]",57,8,8,0.14035087719298245,1.0,0.5078125,15.750000080093741,1502.421875,2.2105263270307005,0.9980222247502155,0.9998682449408053,0.0,3388.3394837495125
10,374,A-bin,"(.5,.75]",56,5,5,0.08928571428571429,1.0,0.5125,15.599999982118607,1425.75,1.39285714126059,0.9979199233590912,0.999840281904005,0.0,2018.8678659938676
10,374,A-bin,"(.75,1)",20,2,2,0.1,1.0,0.75,8.000000081956387,1087.8125,0.8000000081956387,0.998224868406551,0.9999683181433389,0.0,1011.6433370459683
10,374,A-bin,1,1,0,0,0.0,,,,,0.0,,,,0.0
10,374,B-bin,0,37,5,5,0.13513513513513514,0.6,0.0875,16.400000190734865,1759.5875,2.216216241991198,0.997893855766875,1.0001660538911084,0.0,3204.968334798143
10,374,B-bin,"(0,.25]",86,7,7,0.08139534883720931,0.8571428571428571,0.15178571428571427,22.571428537368774,1828.607142857143,1.8372092995532723,0.9978958848594323,1.000008143412853,0.0,2726.654662673376
10,374,B-bin,"(.25,.5]",59,9,9,0.15254237288135594,1.0,0.4027777777777778,19.111111124356587,1611.9305555555557,2.915254239308632,0.9980137576757893,0.9997685461294513,0.0,4521.089700348939
10,374,B-bin,"(.5,.75]",55,6,6,0.10909090909090909,1.0,0.6770833333333334,10.33333340783914,1230.59375,1.1272727354006333,0.9979543039101405,0.9999310800806744,0.0,1626.659619976995
10,374,B-bin,"(.75,1)",19,1,1,0.05263157894736842,1.0,0.6875,10.000000149011612,1334.0625,0.5263157973164007,0.9981395258732847,1.0001016184244313,0.0,768.5087491450381
