snapshot_pct,direction,bin,n_questions,n_questions_A,n_questions_B,delta_R,delta_T,delta_C
5,A-bin/B-base,0,33,,,0.022727272727272728,-0.005681818181818182,0.005681818181818182
5,A-bin/B-base,"(0,.25]",89,,,0.016853932584269662,0.0014044943820224719,0.009129213483146067
5,A-bin/B-base,"(.25,.5]",57,,,0.02412280701754386,0.027412280701754384,0.01206140350877193
5,A-bin/B-base,"(.5,.75]",56,,,0.036830357142857144,0.041294642857142856,-0.005580357142857143
5,A-bin/B-base,"(.75,1)",20,,,-0.05,-0.021875,-0.03125
5,A-bin/B-base,1,1,,,0.0,0.0,0.0625
5,B-bin/A-base,0,37,,,-0.018581081081081082,-0.030405405405405407,-0.02533783783783784
5,B-bin/A-base,"(0,.25]",86,,,0.03561046511627907,0.04142441860465116,0.025436046511627907
5,B-bin/A-base,"(.25,.5]",59,,,-0.011652542372881356,-0.013771186440677966,-0.00211864406779661
5,B-bin/A-base,"(.5,.75]",55,,,0.014772727272727272,0.019318181818181818,-0.010227272727272727
5,B-bin/A-base,"(.75,1)",19,,,-0.023026315789473683,-0.03289473684210526,-0.009868421052631578
10,A-bin/B-base,0,33,,,0.022727272727272728,0.026515151515151516,-0.007575757575757576
10,A-bin/B-base,"(0,.25]",89,,,0.03160112359550562,0.051264044943820225,0.02457865168539326
10,A-bin/B-base,"(.25,.5]",57,,,0.08442982456140351,0.08662280701754387,0.015350877192982455
10,A-bin/B-base,"(.5,.75]",56,,,0.04241071428571429,0.0625,-0.005580357142857143
10,A-bin/B-base,"(.75,1)",20,,,0.003125,0.0375,-0.009375
10,A-bin/B-base,1,1,,,0.125,0.1875,0.0
10,B-bin/A-base,0,37,,,-0.006756756756756757,0.02533783783783784,-0.013513513513513514
10,B-bin/A-base,"(0,.25]",86,,,0.034156976744186045,0.0690406976744186,0.015988372093023256
10,B-bin/A-base,"(.25,.5]",59,,,0.019067796610169493,0.036016949152542374,-0.00423728813559322
10,B-bin/A-base,"(.5,.75]",55,,,0.07727272727272727,0.07613636363636364,0.02159090909090909
10,B-bin/A-base,"(.75,1)",19,,,0.013157894736842105,0.01644736842105263,0.003289473684210526
15,A-bin/B-base,0,33,,,0.054924242424242424,0.06439393939393939,0.02462121212121212
15,A-bin/B-base,"(0,.25]",89,,,0.07443820224719101,0.13553370786516855,0.06811797752808989
15,A-bin/B-base,"(.25,.5]",57,,,0.0800438596491228,0.12609649122807018,-0.006578947368421052
15,A-bin/B-base,"(.5,.75]",56,,,0.12165178571428571,0.15625,0.002232142857142857
15,A-bin/B-base,"(.75,1)",20,,,0.0375,0.075,-0.0125
15,A-bin/B-base,1,1,,,-0.0625,-0.0625,-0.0625
15,B-bin/A-base,0,37,,,0.02533783783783784,0.08108108108108109,0.006756756756756757
15,B-bin/A-base,"(0,.25]",86,,,0.059593023255813955,0.13226744186046513,0.04142441860465116
15,B-bin/A-base,"(.25,.5]",59,,,0.08686440677966102,0.1281779661016949,0.037076271186440676
15,B-bin/A-base,"(.5,.75]",55,,,0.10454545454545454,0.1375,-0.004545454545454545
15,B-bin/A-base,"(.75,1)",19,,,0.049342105263157895,0.039473684210526314,0.006578947368421052
20,A-bin/B-base,0,33,,,0.03409090909090909,0.12878787878787878,0.003787878787878788
20,A-bin/B-base,"(0,.25]",89,,,0.10533707865168539,0.1797752808988764,0.0723314606741573
20,A-bin/B-base,"(.25,.5]",57,,,0.10635964912280702,0.16557017543859648,0.023026315789473683
20,A-bin/B-base,"(.5,.75]",56,,,0.12276785714285714,0.16852678571428573,0.0033482142857142855
20,A-bin/B-base,"(.75,1)",20,,,0.09375,0.128125,0.0
20,A-bin/B-base,1,1,,,0.125,0.1875,0.0
20,B-bin/A-base,0,37,,,0.008445945945945946,0.11486486486486487,-0.006756756756756757
20,B-bin/A-base,"(0,.25]",86,,,0.0872093023255814,0.19404069767441862,0.05159883720930233
20,B-bin/A-base,"(.25,.5]",59,,,0.11122881355932203,0.15254237288135594,0.0423728813559322
20,B-bin/A-base,"(.5,.75]",55,,,0.12954545454545455,0.16363636363636364,0.020454545454545454
20,B-bin/A-base,"(.75,1)",19,,,0.06907894736842106,0.08552631578947369,-0.009868421052631578
25,A-bin/B-base,0,33,,,0.06818181818181818,0.18181818181818182,0.030303030303030304
25,A-bin/B-base,"(0,.25]",89,,,0.11165730337078651,0.22823033707865167,0.06530898876404495
25,A-bin/B-base,"(.25,.5]",57,,,0.13706140350877194,0.20614035087719298,0.03618421052631579
