checkpoint,bin,n_questions,mean_sft_rate,mean_rl_rate,mean_gain,improved,regressed,unchanged
step 100,0/8,2,0.0,0.0625,0.0625,1,0,1
step 100,1-2/8,5,0.2,0.375,0.175,2,1,2
step 100,3-5/8,11,0.45454545454545453,0.625,0.17045454545454544,9,2,0
step 100,6-8/8,12,0.8854166666666666,0.8854166666666666,0.0,3,4,5
step 300,0/8,2,0.0,0.125,0.125,1,0,1
step 300,1-2/8,5,0.2,0.375,0.175,3,1,1
step 300,3-5/8,11,0.45454545454545453,0.6590909090909091,0.20454545454545456,8,3,0
step 300,6-8/8,12,0.8854166666666666,0.7708333333333334,-0.11458333333333333,2,6,4
step 500,0/8,2,0.0,0.0625,0.0625,1,0,1
step 500,1-2/8,5,0.2,0.275,0.075,2,2,1
step 500,3-5/8,11,0.45454545454545453,0.6931818181818182,0.23863636363636365,8,0,3
step 500,6-8/8,12,0.8854166666666666,0.8958333333333334,0.010416666666666666,5,4,3
step 1000,0/8,2,0.0,0.3125,0.3125,1,0,1
step 1000,1-2/8,5,0.2,0.35,0.15,2,2,1
step 1000,3-5/8,11,0.45454545454545453,0.7045454545454546,0.25,7,2,2
step 1000,6-8/8,12,0.8854166666666666,0.9583333333333334,0.07291666666666667,7,2,3
final,0/8,2,0.0,0.25,0.25,1,0,1
final,1-2/8,5,0.2,0.45,0.25,3,1,1
final,3-5/8,11,0.45454545454545453,0.7159090909090909,0.26136363636363635,8,1,2
final,6-8/8,12,0.8854166666666666,0.9375,0.052083333333333336,4,2,6
