checkpoint,bin,n_questions,mean_sft_rate,mean_rl_rate,mean_gain,ci_low,ci_high,improved,regressed,unchanged
step 100,0-2/8,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.017857142857142856,0.35714285714285715,3,1,3
step 100,3-5/8,11,0.45454545454545453,0.625,0.17045454545454544,0.011363636363636364,0.3068181818181818,9,2,0
step 100,6-8/8,12,0.8854166666666666,0.8854166666666666,0.0,-0.0625,0.07291666666666667,3,4,5
step 300,0-2/8,7,0.14285714285714285,0.30357142857142855,0.16071428571428573,-0.017857142857142856,0.32142857142857145,4,1,2
step 300,3-5/8,11,0.45454545454545453,0.6590909090909091,0.20454545454545456,0.045454545454545456,0.36363636363636365,8,3,0
step 300,6-8/8,12,0.8854166666666666,0.7708333333333334,-0.11458333333333333,-0.21875,-0.010416666666666666,2,6,4
step 500,0-2/8,7,0.14285714285714285,0.21428571428571427,0.07142857142857142,-0.05357142857142857,0.23214285714285715,3,2,2
step 500,3-5/8,11,0.45454545454545453,0.6931818181818182,0.23863636363636365,0.125,0.36363636363636365,8,0,3
step 500,6-8/8,12,0.8854166666666666,0.8958333333333334,0.010416666666666666,-0.10416666666666667,0.11458333333333333,5,4,3
step 1000,0-2/8,7,0.14285714285714285,0.3392857142857143,0.19642857142857142,-0.03571428571428571,0.44642857142857145,3,2,2
step 1000,3-5/8,11,0.45454545454545453,0.7045454545454546,0.25,0.07954545454545454,0.42045454545454547,7,2,2
step 1000,6-8/8,12,0.8854166666666666,0.9583333333333334,0.07291666666666667,0.010416666666666666,0.13541666666666666,7,2,3
final,0-2/8,7,0.14285714285714285,0.39285714285714285,0.25,0.05357142857142857,0.44642857142857145,4,1,2
final,3-5/8,11,0.45454545454545453,0.7159090909090909,0.26136363636363635,0.13636363636363635,0.375,8,1,2
final,6-8/8,12,0.8854166666666666,0.9375,0.052083333333333336,-0.020833333333333332,0.125,4,2,6
