checkpoint,qid,bin,sft_correct,rl_correct,sft_rate,rl_rate,gain
step 100,0,6-8/8,7,6,0.875,0.75,-0.125
step 100,1,6-8/8,8,8,1.0,1.0,0.0
step 100,2,3-5/8,5,7,0.625,0.875,0.25
step 100,3,3-5/8,3,6,0.375,0.75,0.375
step 100,4,0-2/8,0,1,0.0,0.125,0.125
step 100,5,3-5/8,4,8,0.5,1.0,0.5
step 100,6,6-8/8,7,6,0.875,0.75,-0.125
step 100,7,6-8/8,6,8,0.75,1.0,0.25
step 100,8,3-5/8,3,5,0.375,0.625,0.25
step 100,9,6-8/8,8,8,1.0,1.0,0.0
step 100,10,6-8/8,6,6,0.75,0.75,0.0
step 100,11,3-5/8,5,6,0.625,0.75,0.125
step 100,12,0-2/8,1,0,0.125,0.0,-0.125
step 100,13,3-5/8,3,4,0.375,0.5,0.125
step 100,14,3-5/8,3,7,0.375,0.875,0.5
step 100,15,6-8/8,8,8,1.0,1.0,0.0
step 100,16,0-2/8,2,2,0.25,0.25,0.0
step 100,17,6-8/8,6,7,0.75,0.875,0.125
step 100,18,6-8/8,8,7,1.0,0.875,-0.125
step 100,19,6-8/8,8,8,1.0,1.0,0.0
step 100,20,3-5/8,3,4,0.375,0.5,0.125
step 100,21,6-8/8,7,6,0.875,0.75,-0.125
step 100,22,0-2/8,2,2,0.25,0.25,0.0
step 100,23,3-5/8,3,0,0.375,0.0,-0.375
step 100,24,0-2/8,2,8,0.25,1.0,0.75
step 100,25,3-5/8,5,6,0.625,0.75,0.125
step 100,26,0-2/8,0,0,0.0,0.0,0.0
step 100,27,3-5/8,3,2,0.375,0.25,-0.125
step 100,28,6-8/8,6,7,0.75,0.875,0.125
step 100,29,0-2/8,1,3,0.125,0.375,0.25
step 300,0,6-8/8,7,5,0.875,0.625,-0.25
step 300,1,6-8/8,8,6,1.0,0.75,-0.25
step 300,2,3-5/8,5,7,0.625,0.875,0.25
step 300,3,3-5/8,3,7,0.375,0.875,0.5
step 300,4,0-2/8,0,2,0.0,0.25,0.25
step 300,5,3-5/8,4,7,0.5,0.875,0.375
step 300,6,6-8/8,7,7,0.875,0.875,0.0
step 300,7,6-8/8,6,7,0.75,0.875,0.125
step 300,8,3-5/8,3,2,0.375,0.25,-0.125
step 300,9,6-8/8,8,8,1.0,1.0,0.0
step 300,10,6-8/8,6,2,0.75,0.25,-0.5
step 300,11,3-5/8,5,6,0.625,0.75,0.125
step 300,12,0-2/8,1,1,0.125,0.125,0.0
step 300,13,3-5/8,3,1,0.375,0.125,-0.25
step 300,14,3-5/8,3,8,0.375,1.0,0.625
step 300,15,6-8/8,8,8,1.0,1.0,0.0
step 300,16,0-2/8,2,4,0.25,0.5,0.25
step 300,17,6-8/8,6,4,0.75,0.5,-0.25
step 300,18,6-8/8,8,7,1.0,0.875,-0.125
step 300,19,6-8/8,8,8,1.0,1.0,0.0
step 300,20,3-5/8,3,7,0.375,0.875,0.5
step 300,21,6-8/8,7,5,0.875,0.625,-0.25
step 300,22,0-2/8,2,0,0.25,0.0,-0.25
step 300,23,3-5/8,3,4,0.375,0.5,0.125
step 300,24,0-2/8,2,6,0.25,0.75,0.5
step 300,25,3-5/8,5,7,0.625,0.875,0.25
step 300,26,0-2/8,0,0,0.0,0.0,0.0
step 300,27,3-5/8,3,2,0.375,0.25,-0.125
step 300,28,6-8/8,6,7,0.75,0.875,0.125
step 300,29,0-2/8,1,4,0.125,0.5,0.375
step 500,0,6-8/8,7,5,0.875,0.625,-0.25
step 500,1,6-8/8,8,7,1.0,0.875,-0.125
step 500,2,3-5/8,5,8,0.625,1.0,0.375
step 500,3,3-5/8,3,7,0.375,0.875,0.5
step 500,4,0-2/8,0,1,0.0,0.125,0.125
step 500,5,3-5/8,4,8,0.5,1.0,0.5
step 500,6,6-8/8,7,8,0.875,1.0,0.125
step 500,7,6-8/8,6,8,0.75,1.0,0.25
step 500,8,3-5/8,3,6,0.375,0.75,0.375
step 500,9,6-8/8,8,8,1.0,1.0,0.0
step 500,10,6-8/8,6,3,0.75,0.375,-0.375
step 500,11,3-5/8,5,5,0.625,0.625,0.0
step 500,12,0-2/8,1,0,0.125,0.0,-0.125
step 500,13,3-5/8,3,3,0.375,0.375,0.0
step 500,14,3-5/8,3,7,0.375,0.875,0.5
step 500,15,6-8/8,8,8,1.0,1.0,0.0
step 500,16,0-2/8,2,2,0.25,0.25,0.0
step 500,17,6-8/8,6,8,0.75,1.0,0.25
step 500,18,6-8/8,8,7,1.0,0.875,-0.125
step 500,19,6-8/8,8,8,1.0,1.0,0.0
step 500,20,3-5/8,3,3,0.375,0.375,0.0
step 500,21,6-8/8,7,8,0.875,1.0,0.125
step 500,22,0-2/8,2,1,0.25,0.125,-0.125
step 500,23,3-5/8,3,4,0.375,0.5,0.125
step 500,24,0-2/8,2,6,0.25,0.75,0.5
step 500,25,3-5/8,5,6,0.625,0.75,0.125
step 500,26,0-2/8,0,0,0.0,0.0,0.0
step 500,27,3-5/8,3,4,0.375,0.5,0.125
step 500,28,6-8/8,6,8,0.75,1.0,0.25
step 500,29,0-2/8,1,2,0.125,0.25,0.125
step 1000,0,6-8/8,7,8,0.875,1.0,0.125
step 1000,1,6-8/8,8,7,1.0,0.875,-0.125
step 1000,2,3-5/8,5,4,0.625,0.5,-0.125
step 1000,3,3-5/8,3,7,0.375,0.875,0.5
step 1000,4,0-2/8,0,5,0.0,0.625,0.625
step 1000,5,3-5/8,4,8,0.5,1.0,0.5
step 1000,6,6-8/8,7,8,0.875,1.0,0.125
step 1000,7,6-8/8,6,8,0.75,1.0,0.25
step 1000,8,3-5/8,3,8,0.375,1.0,0.625
step 1000,9,6-8/8,8,8,1.0,1.0,0.0
step 1000,10,6-8/8,6,7,0.75,0.875,0.125
step 1000,11,3-5/8,5,5,0.625,0.625,0.0
step 1000,12,0-2/8,1,0,0.125,0.0,-0.125
step 1000,13,3-5/8,3,3,0.375,0.375,0.0
step 1000,14,3-5/8,3,8,0.375,1.0,0.625
step 1000,15,6-8/8,8,7,1.0,0.875,-0.125
step 1000,16,0-2/8,2,2,0.25,0.25,0.0
step 1000,17,6-8/8,6,7,0.75,0.875,0.125
step 1000,18,6-8/8,8,8,1.0,1.0,0.0
step 1000,19,6-8/8,8,8,1.0,1.0,0.0
step 1000,20,3-5/8,3,7,0.375,0.875,0.5
step 1000,21,6-8/8,7,8,0.875,1.0,0.125
step 1000,22,0-2/8,2,1,0.25,0.125,-0.125
step 1000,23,3-5/8,3,2,0.375,0.25,-0.125
step 1000,24,0-2/8,2,7,0.25,0.875,0.625
step 1000,25,3-5/8,5,6,0.625,0.75,0.125
step 1000,26,0-2/8,0,0,0.0,0.0,0.0
step 1000,27,3-5/8,3,4,0.375,0.5,0.125
step 1000,28,6-8/8,6,8,0.75,1.0,0.25
step 1000,29,0-2/8,1,4,0.125,0.5,0.375
final,0,6-8/8,7,6,0.875,0.75,-0.125
final,1,6-8/8,8,8,1.0,1.0,0.0
final,2,3-5/8,5,7,0.625,0.875,0.25
final,3,3-5/8,3,6,0.375,0.75,0.375
final,4,0-2/8,0,4,0.0,0.5,0.5
final,5,3-5/8,4,8,0.5,1.0,0.5
final,6,6-8/8,7,7,0.875,0.875,0.0
final,7,6-8/8,6,8,0.75,1.0,0.25
final,8,3-5/8,3,6,0.375,0.75,0.375
final,9,6-8/8,8,8,1.0,1.0,0.0
final,10,6-8/8,6,5,0.75,0.625,-0.125
final,11,3-5/8,5,5,0.625,0.625,0.0
final,12,0-2/8,1,1,0.125,0.125,0.0
final,13,3-5/8,3,2,0.375,0.25,-0.125
final,14,3-5/8,3,7,0.375,0.875,0.5
final,15,6-8/8,8,8,1.0,1.0,0.0
final,16,0-2/8,2,7,0.25,0.875,0.625
final,17,6-8/8,6,8,0.75,1.0,0.25
final,18,6-8/8,8,8,1.0,1.0,0.0
final,19,6-8/8,8,8,1.0,1.0,0.0
final,20,3-5/8,3,6,0.375,0.75,0.375
final,21,6-8/8,7,8,0.875,1.0,0.125
final,22,0-2/8,2,1,0.25,0.125,-0.125
final,23,3-5/8,3,3,0.375,0.375,0.0
final,24,0-2/8,2,5,0.25,0.625,0.375
final,25,3-5/8,5,8,0.625,1.0,0.375
final,26,0-2/8,0,0,0.0,0.0,0.0
final,27,3-5/8,3,5,0.375,0.625,0.25
final,28,6-8/8,6,8,0.75,1.0,0.25
final,29,0-2/8,1,4,0.125,0.5,0.375
