checkpoint,qid,sft_correct,rl_correct,n_rollouts,sft_rate,rl_rate,gain,bin
step 100,0,7,6,8,0.875,0.75,-0.125,6-8/8
step 100,1,8,8,8,1.0,1.0,0.0,6-8/8
step 100,2,5,7,8,0.625,0.875,0.25,3-5/8
step 100,3,3,6,8,0.375,0.75,0.375,3-5/8
step 100,4,0,1,8,0.0,0.125,0.125,0/8
step 100,5,4,8,8,0.5,1.0,0.5,3-5/8
step 100,6,7,6,8,0.875,0.75,-0.125,6-8/8
step 100,7,6,8,8,0.75,1.0,0.25,6-8/8
step 100,8,3,5,8,0.375,0.625,0.25,3-5/8
step 100,9,8,8,8,1.0,1.0,0.0,6-8/8
step 100,10,6,6,8,0.75,0.75,0.0,6-8/8
step 100,11,5,6,8,0.625,0.75,0.125,3-5/8
step 100,12,1,0,8,0.125,0.0,-0.125,1-2/8
step 100,13,3,4,8,0.375,0.5,0.125,3-5/8
step 100,14,3,7,8,0.375,0.875,0.5,3-5/8
step 100,15,8,8,8,1.0,1.0,0.0,6-8/8
step 100,16,2,2,8,0.25,0.25,0.0,1-2/8
step 100,17,6,7,8,0.75,0.875,0.125,6-8/8
step 100,18,8,7,8,1.0,0.875,-0.125,6-8/8
step 100,19,8,8,8,1.0,1.0,0.0,6-8/8
step 100,20,3,4,8,0.375,0.5,0.125,3-5/8
step 100,21,7,6,8,0.875,0.75,-0.125,6-8/8
step 100,22,2,2,8,0.25,0.25,0.0,1-2/8
step 100,23,3,0,8,0.375,0.0,-0.375,3-5/8
step 100,24,2,8,8,0.25,1.0,0.75,1-2/8
step 100,25,5,6,8,0.625,0.75,0.125,3-5/8
step 100,26,0,0,8,0.0,0.0,0.0,0/8
step 100,27,3,2,8,0.375,0.25,-0.125,3-5/8
step 100,28,6,7,8,0.75,0.875,0.125,6-8/8
step 100,29,1,3,8,0.125,0.375,0.25,1-2/8
step 300,0,7,5,8,0.875,0.625,-0.25,6-8/8
step 300,1,8,6,8,1.0,0.75,-0.25,6-8/8
step 300,2,5,7,8,0.625,0.875,0.25,3-5/8
step 300,3,3,7,8,0.375,0.875,0.5,3-5/8
step 300,4,0,2,8,0.0,0.25,0.25,0/8
step 300,5,4,7,8,0.5,0.875,0.375,3-5/8
step 300,6,7,7,8,0.875,0.875,0.0,6-8/8
step 300,7,6,7,8,0.75,0.875,0.125,6-8/8
step 300,8,3,2,8,0.375,0.25,-0.125,3-5/8
step 300,9,8,8,8,1.0,1.0,0.0,6-8/8
step 300,10,6,2,8,0.75,0.25,-0.5,6-8/8
step 300,11,5,6,8,0.625,0.75,0.125,3-5/8
step 300,12,1,1,8,0.125,0.125,0.0,1-2/8
step 300,13,3,1,8,0.375,0.125,-0.25,3-5/8
