k,n_questions,n_rl_observed_success_questions,repeats,sft_covered_mean,sft_covered_p2.5,sft_covered_p97.5,rl_success_unresolved_mean,rl_success_unresolved_p2.5,rl_success_unresolved_p97.5
1,30,0,1000,15.726,12.0,20.0,0.0,0.0,0.0
2,30,0,1000,20.394,17.0,24.0,0.0,0.0,0.0
4,30,0,1000,23.864,21.0,27.0,0.0,0.0,0.0
8,30,0,1000,26.324,24.0,29.0,0.0,0.0,0.0
16,30,0,1000,28.141,26.0,30.0,0.0,0.0,0.0
32,30,0,1000,29.312,28.0,30.0,0.0,0.0,0.0
64,30,0,1000,29.886,29.0,30.0,0.0,0.0,0.0
128,30,0,1000,29.991,30.0,30.0,0.0,0.0,0.0
256,30,0,1000,30.0,30.0,30.0,0.0,0.0,0.0
512,30,0,1000,30.0,30.0,30.0,0.0,0.0,0.0
1024,30,0,1000,30.0,30.0,30.0,0.0,0.0,0.0
